_id,disease_name,affected_crops[0],affected_crops[1],outbreak_season,preventive_measures,historical_occurrences.2019[0],historical_occurrences.2019[1],historical_occurrences.2020[0],historical_occurrences.2020[1],historical_occurrences.2018[0],historical_occurrences.2021[0],historical_occurrences.2021[1]
66fd159168a6d76dd74156b6,Rice Blast,Rice,,Kharif,"Use resistant varieties, ensure good drainage, apply fungicide",Assam,Bihar,West Bengal,Punjab,,,
66fd159168a6d76dd74156b7,Panama Disease,Banana,,All Year,"Use disease-free planting materials, practice crop rotation",,,Maharashtra,Kerala,Tamil Nadu,,
66fd159168a6d76dd74156b8,Fusarium Wilt,Chickpea,,Rabi,"Rotate crops, apply bio-fungicides, remove infected plants",,,Uttar Pradesh,,,Rajasthan,Madhya Pradesh
66fd159168a6d76dd74156b9,Root Rot,Blackgram,,Kharif,"Use well-drained soil, apply fungicides",Andhra Pradesh,Telangana,,,,Odisha,
66fd159168a6d76dd74156ba,Cotton Leaf Spot,Cotton,,Kharif,"Use resistant varieties, timely spraying of fungicides",Andhra Pradesh,,Gujarat,Maharashtra,,,
66fd159168a6d76dd74156bb,Leaf Rust,Wheat,,Rabi,"Use resistant varieties, fungicide application",,,Rajasthan,,,Punjab,Haryana
66fd159168a6d76dd74156bc,Coconut Mite,Coconut,,All Year,"Spray sulfur, maintain clean cultivation",Karnataka,,Kerala,Tamil Nadu,,,
66fd159168a6d76dd74156bd,Late Blight,Potato,,Kharif,"Plant resistant varieties, apply fungicides",,,Uttar Pradesh,,,Himachal Pradesh,
66fd159168a6d76dd74156be,Bacterial Blight,Beans,,Kharif,"Use resistant varieties, crop rotation",,,Maharashtra,,,Karnataka,
66fd159168a6d76dd74156bf,Downy Mildew,Grapes,,Monsoon,"Apply copper-based fungicides, ensure proper spacing",Karnataka,,Maharashtra,,,,
66fd159168a6d76dd74156c0,Tomato Blight,Tomato,,Kharif,"Use resistant varieties, apply fungicides",,,Maharashtra,,,Punjab,
66fd159168a6d76dd74156c1,Aphid Infestation,Various Fruits,,Summer,"Use insecticidal soap, introduce beneficial insects",,,Haryana,,,Uttar Pradesh,
66fd159168a6d76dd74156c2,Powdery Mildew,Cucumber,Squash,Summer,"Use resistant varieties, improve air circulation",Uttarakhand,,Himachal Pradesh,,,,
66fd159168a6d76dd74156c3,Cabbage Worm,Cabbage,Cauliflower,Kharif,"Use row covers, introduce natural predators",,,Punjab,,,Maharashtra,
66fd159168a6d76dd74156c4,Downy Mildew,Lettuce,,Monsoon,"Ensure proper spacing, apply fungicides",,,Karnataka,,,Kerala,
66fd159168a6d76dd74156c5,Whitefly,Cotton,,All Year,"Use yellow sticky traps, release natural enemies",,,Tamil Nadu,,,Gujarat,
66fd159168a6d76dd74156c6,Stem Rust,Wheat,,Rabi,"Use resistant varieties, proper irrigation",Rajasthan,,Haryana,,,,
66fd159168a6d76dd74156c7,Leaf Spot,Peas,,Kharif,"Rotate crops, avoid overhead watering",,,Uttarakhand,,,Punjab,
66fd159168a6d76dd74156c8,Charcoal Rot,Soybean,,Kharif,"Ensure proper drainage, crop rotation",,,Gujarat,,,Madhya Pradesh,
66fd159168a6d76dd74156c9,Anthracnose,Papaya,,All Year,"Prune infected areas, apply fungicides",Kerala,,Karnataka,,,,
66fd159168a6d76dd74156ca,Fungal Wilt,Okra,,Kharif,"Rotate crops, improve soil health",,,Tamil Nadu,,,Andhra Pradesh,
66fd159168a6d76dd74156cb,Mosaic Virus,Tobacco,,All Year,"Use virus-free seeds, remove infected plants",Maharashtra,,Karnataka,,,,
66fd159168a6d76dd74156cc,Downy Mildew,Spinach,,Monsoon,"Apply fungicides, ensure good air circulation",,,Uttar Pradesh,,,Himachal Pradesh,
66fd159168a6d76dd74156cd,Sudden Oak Death,Oak,,All Year,"Avoid wounding trees, apply fungicides",Oregon,,California,,,,
66fd159168a6d76dd74156ce,Tomato Mosaic Virus,Tomato,,All Year,"Use resistant varieties, eliminate infected plants",,,Florida,,California,,
66fd159168a6d76dd74156cf,Root Knot Nematode,Various Vegetables,,All Year,"Rotate crops, use resistant varieties",,,Arizona,,,Texas,
66fd159168a6d76dd74156d0,Sclerotinia Rot,Lettuce,,Kharif,"Crop rotation, improve drainage",,,New York,,,California,
66fd159168a6d76dd74156d1,Powdery Mildew,Grapes,,Summer,"Apply fungicides, avoid overhead watering",,,New York,,,Oregon,
66fd159168a6d76dd74156d2,Thrips Infestation,Various Fruits,,Summer,"Use insecticidal soap, introduce natural predators",,,Florida,,,Texas,
66fd159168a6d76dd74156d3,Red Spider Mite,Strawberry,,Summer,"Use neem oil, keep plants healthy",Florida,,California,,,,
66fd159168a6d76dd74156d4,Fire Blight,Apple,Pear,Spring,"Prune affected areas, apply antibiotics",,,Oregon,,,Washington,
66fd159168a6d76dd74156d5,Cucumber Beetle,Cucumber,,Kharif,"Use row covers, apply insecticides",,,California,,,Ohio,
66fd159168a6d76dd74156d6,Late Blight,Tomato,,Kharif,"Use resistant varieties, apply fungicides",,,New Jersey,,,Pennsylvania,
66fd159168a6d76dd74156d7,Bean Rust,Beans,,Rabi,"Rotate crops, use resistant varieties",,,South Dakota,,,North Dakota,
66fd159168a6d76dd74156d8,Charcoal Rot,Sorghum,,Kharif,"Ensure proper drainage, rotate crops",Oklahoma,,Texas,,,,
66fd159168a6d76dd74156d9,White Mold,Beans,Peas,Kharif,"Apply fungicides, avoid excessive moisture",,,Wisconsin,,,Michigan,
66fd159168a6d76dd74156da,Fusarium Head Blight,Barley,Wheat,Rabi,"Use resistant varieties, proper crop rotation",Minnesota,,North Dakota,,,,
66fd159168a6d76dd74156db,Black Sigatoka,Banana,,Kharif,"Use disease-free planting material, apply fungicides",Honduras,,Costa Rica,,,,
66fd159168a6d76dd74156dc,Leaf Blight,Maize,,Kharif,"Rotate crops, use resistant varieties",,,Maharashtra,,,Karnataka,
66fd159168a6d76dd74156dd,Cercospora Leaf Spot,Soybean,,Kharif,"Rotate crops, avoid overhead watering",,,Indiana,,,Illinois,
66fd159168a6d76dd74156de,Alternaria Leaf Spot,Brassicas,,Kharif,"Improve air circulation, use fungicides",Michigan,,New York,,,,
66fd159168a6d76dd74156df,Bacterial Wilt,Tomato,,All Year,"Use resistant varieties, avoid wounding plants",,,Arizona,,,California,
66fd159168a6d76dd74156e0,Downy Mildew,Cucumbers,,Kharif,"Apply fungicides, improve drainage",,,Texas,,,Florida,
66fd159168a6d76dd74156e1,Crown Gall,Various Fruits,,All Year,"Avoid wounding roots, use disease-free planting materials",New York,,California,,,,
66fd159168a6d76dd74156e2,Aphid Infestation,Various Vegetables,,Spring,"Use insecticidal soap, introduce ladybugs",,,Texas,,,California,
66fd159168a6d76dd74156e3,Cabbage Loopers,Cabbage,Kale,Kharif,"Use floating row covers, introduce natural predators",Michigan,,North Carolina,,,,
66fd159168a6d76dd74156e4,Black Rot,Brassicas,,Kharif,"Crop rotation, use resistant varieties",,,Virginia,,,Maryland,
66fd159168a6d76dd74156e5,Bacterial Blight,Beans,,Rabi,"Avoid overhead watering, rotate crops",,,Ohio,,,Illinois,
66fd159168a6d76dd74156e6,Corn Earworm,Corn,,Summer,"Use insecticides, trap crops",,,Nebraska,,,Iowa,
66fd159168a6d76dd74156e7,Downy Mildew,Grapes,,Summer,"Ensure good air circulation, apply fungicides",,,Oregon,,,Washington,
66fd159168a6d76dd74156e8,Early Blight,Tomato,,Kharif,"Use resistant varieties, apply fungicides",,,New York,,,Florida,
66fd159168a6d76dd74156e9,Fire Ant Infestation,Various Crops,,All Year,"Use bait, introduce natural predators",,,Louisiana,,,Texas,
66fd159168a6d76dd74156ea,Gummy Stem Blight,Cucumbers,,Kharif,"Improve drainage, crop rotation",,,California,,,Florida,
66fd159168a6d76dd74156eb,Heliothis (Cotton Bollworm),Cotton,,Summer,"Use pheromone traps, apply insecticides",,,Alabama,,,Georgia,
66fd159168a6d76dd74156ec,Leaf Spot,Various Fruits,,Kharif,"Improve air circulation, use fungicides",,,Florida,,,California,
66fd159168a6d76dd74156ed,Melon Worm,Melons,,Summer,"Use row covers, insecticides",,,California,,,Texas,
66fd159168a6d76dd74156ee,Mosaic Virus,Various Vegetables,,All Year,"Use resistant varieties, eliminate infected plants",,,Arizona,,,Florida,
66fd159168a6d76dd74156ef,Neem Oil,Various Crops,,All Year,Use neem oil as a natural pesticide,,,Thailand,,,India,
66fd159168a6d76dd74156f0,Nematode Infection,Carrots,,All Year,"Crop rotation, use resistant varieties",,,Florida,,,California,
66fd159168a6d76dd74156f1,Oregano Leaf Spot,Oregano,,Summer,"Use fungicides, improve air circulation",,,Massachusetts,,,New York,
66fd159168a6d76dd74156f2,Peanut Root Rot,Peanuts,,Kharif,"Rotate crops, improve drainage",,,Alabama,,,Georgia,
66fd159168a6d76dd74156f3,Phytophthora Root Rot,Potatoes,,Kharif,"Use resistant varieties, improve drainage",,,Wisconsin,,,Idaho,
66fd159168a6d76dd74156f4,Powdery Mildew,Squash,,Summer,"Avoid overhead watering, use fungicides",,,New York,,,California,
66fd159168a6d76dd74156f5,Rust Disease,Wheat,,Rabi,"Use resistant varieties, crop rotation",,,South Dakota,,,North Dakota,
66fd159168a6d76dd74156f6,Scab Disease,Apples,,Spring,"Prune trees, apply fungicides",,,Oregon,,,Washington,
66fd159168a6d76dd74156f7,Septoria Leaf Spot,Tomato,,Kharif,"Use resistant varieties, improve air circulation",,,Florida,,,Texas,
66fd159168a6d76dd74156f8,Southern Blight,Various Crops,,Kharif,"Improve drainage, crop rotation",,,Illinois,,,California,
66fd159168a6d76dd74156f9,Soybean Cyst Nematode,Soybean,,All Year,"Rotate crops, use resistant varieties",,,Indiana,,,Illinois,
66fd159168a6d76dd74156fa,Stem Rot,Cotton,,Summer,"Improve drainage, avoid overwatering",,,Mississippi,,,Arkansas,
66fd159168a6d76dd74156fb,Strawberry Leaf Spot,Strawberry,,Summer,"Crop rotation, apply fungicides",,,Florida,,,California,
66fd159168a6d76dd74156fc,Sunflower Rust,Sunflower,,Summer,"Use resistant varieties, improve air circulation",,,South Dakota,,,North Dakota,
66fd159168a6d76dd74156fd,Tomato Hornworm,Tomato,,Summer,"Use insecticides, introduce natural predators",,,Georgia,,,Florida,
66fd159168a6d76dd74156fe,Verticillium Wilt,Various Vegetables,,All Year,"Use resistant varieties, rotate crops",,,Arizona,,,California,
66fd159168a6d76dd74156ff,Wheat Scab,Wheat,,Rabi,"Use resistant varieties, improve air circulation",,,Nebraska,,,Kansas,
66fd159168a6d76dd7415700,Whiteflies,Various Vegetables,,Summer,"Use insecticidal soap, introduce natural predators",,,California,,,Texas,
66fd159168a6d76dd7415701,Yellow Vine Disease,Cucumbers,,Summer,"Use disease-free seeds, avoid planting in infected areas",,,Georgia,,,Florida,
66fd159168a6d76dd7415702,Bean Yellow Mosaic Virus,Beans,,Kharif,"Use resistant varieties, eliminate infected plants",,,New York,,,Michigan,
66fd159168a6d76dd7415703,Root Rot,Onions,,Kharif,"Use well-drained soil, apply fungicides",,,California,,,Idaho,
66fd159168a6d76dd7415704,Celery Leaf Spot,Celery,,Kharif,"Use fungicides, improve air circulation",,,Florida,,,North Carolina,
66fd159168a6d76dd7415705,Tomato Pith Necrosis,Tomato,,Summer,"Crop rotation, use resistant varieties",,,Texas,,,Florida,
66fd159168a6d76dd7415706,Zucchini Yellow Mosaic Virus,Zucchini,,Kharif,"Use disease-free seeds, avoid overhead watering",,,Florida,,,California,
66fd159168a6d76dd7415707,Stem Canker,Potatoes,,Kharif,"Use resistant varieties, rotate crops",,,Oregon,,,Idaho,
66fd159168a6d76dd7415708,Blackleg Disease,Potatoes,,Kharif,"Use disease-free seed tubers, improve soil drainage",,,North Dakota,,,Idaho,
66fd159168a6d76dd7415709,Corn Rust,Corn,,Rabi,"Use resistant varieties, crop rotation",,,Iowa,,,Illinois,
66fd159168a6d76dd741570a,Sooty Mold,Various Fruits,,Summer,"Improve air circulation, avoid overhead watering",,,Florida,,,California,
66fd159168a6d76dd741570b,Leaf Curl,Tomato,,Kharif,"Use resistant varieties, avoid excess humidity",,,New York,,,Florida,
66fd159168a6d76dd741570c,Southern Corn Leaf Blight,Corn,,Summer,"Use resistant varieties, crop rotation",,,Georgia,,,Alabama,
66fd159168a6d76dd741570d,Fruit Rot,Peppers,,Summer,"Improve drainage, avoid overhead watering",,,California,,,Florida,
66fd159168a6d76dd741570e,Black Mold,Grapes,,Summer,"Crop rotation, use resistant varieties",,,Oregon,,,Washington,
66fd159168a6d76dd741570f,Citrus Canker,Citrus Fruits,,All Year,"Use disease-free seedlings, apply copper fungicides",,,California,,,Florida,
66fd159168a6d76dd7415710,Crown Root Rot,Various Vegetables,,Kharif,"Improve soil drainage, crop rotation",,,Louisiana,,,Texas,
66fd159168a6d76dd7415711,Chocolate Spot,Beans,,Kharif,"Use resistant varieties, crop rotation",,,Idaho,,,Oregon,
66fd159168a6d76dd7415712,Sclerotinia Blight,Lettuce,,Kharif,"Improve air circulation, apply fungicides",,,Michigan,,,California,
66fd159168a6d76dd7415713,Sudden Oak Death,Oak,,All Year,"Avoid wounding trees, apply fungicides",,,Oregon,,,California,
66fd159168a6d76dd7415714,Apple Scab,Apple,,Spring,"Prune trees, apply fungicides",,,New York,,,Washington,
66fd159168a6d76dd7415715,Banana Weevil,Banana,,All Year,"Use disease-free planting materials, crop rotation",,,Kerala,,,Maharashtra,
66fd159168a6d76dd7415716,Blackgram Leaf Spot,Blackgram,,Kharif,"Use resistant varieties, avoid overhead watering",,,Telangana,,,Andhra Pradesh,
66fd159168a6d76dd7415717,Chickpea Aphid,Chickpea,,Rabi,"Introduce natural predators, apply insecticides",,,Punjab,,,Rajasthan,
66fd159168a6d76dd7415718,Coconut Scale Insect,Coconut,,All Year,"Use insecticides, maintain healthy tree growth",,,Tamil Nadu,,,Kerala,
66fd159168a6d76dd7415719,Coffee Berry Borer,Coffee,,All Year,"Monitor for signs of infestation, apply insecticides",,,Kerala,,,Karnataka,
66fd159168a6d76dd741571a,Cotton Bollworm,Cotton,,Summer,"Use pheromone traps, apply insecticides",,,Andhra Pradesh,,,Gujarat,
66fd159168a6d76dd741571b,Grape Downy Mildew,Grapes,,Summer,"Improve air circulation, apply fungicides",,,Oregon,,,California,
