_id,disease_name,affected_crops[0],affected_crops[1],outbreak_season,preventive_measures,historical_occurrences.2019[0],historical_occurrences.2019[1],historical_occurrences.2020[0],historical_occurrences.2020[1],historical_occurrences.2018[0],historical_occurrences.2021[0],historical_occurrences.2021[1]
66fd159168a6d76dd741571c,Jute Yellow Mosiac Virus,Jute,,Kharif,"Use disease-free seeds, crop rotation",,,Assam,,,West Bengal,
66fd159168a6d76dd741571d,Kidney Bean Rust,Kidney Beans,,Rabi,"Use resistant varieties, crop rotation",,,Haryana,,,Uttar Pradesh,
66fd159168a6d76dd741571e,Lentil Blight,Lentil,,Rabi,"Rotate crops, apply fungicides",,,Punjab,,,Madhya Pradesh,
66fd159168a6d76dd741571f,Maize Stem Borer,Maize,,Summer,"Use resistant hybrids, apply insecticides",,,Bihar,,,Karnataka,
66fd159168a6d76dd7415720,Mungbean Yellow Mosaic Virus,Mung Bean,,Kharif,"Use resistant varieties, eliminate infected plants",,,Gujarat,,,Maharashtra,
66fd159168a6d76dd7415721,Mango Hoppers,Mango,,Summer,"Use insecticides, introduce natural predators",,,Karnataka,,,Andhra Pradesh,
66fd159168a6d76dd7415722,Moth Bean Yellow Mosaic Virus,Moth Beans,,Kharif,"Use resistant varieties, crop rotation",,,Haryana,,,Rajasthan,
66fd159168a6d76dd7415723,Muskmelon Cucumber Beetle,Muskmelon,,Summer,"Use row covers, apply insecticides",,,Florida,,,California,
66fd159168a6d76dd7415724,Orange Rust,Orange,,Summer,"Use resistant varieties, improve air circulation",,,California,,,Florida,
66fd159168a6d76dd7415725,Papaya Ringspot Virus,Papaya,,All Year,"Use disease-free seedlings, eliminate infected plants",,,Florida,,,Hawaii,
66fd159168a6d76dd7415726,Rice Blast,Rice,,Kharif,"Use resistant varieties, apply fungicides",,,Punjab,,,West Bengal,
66fd159168a6d76dd7415727,Pigeon Pea Wilt,Pigeon Peas,,Kharif,"Rotate crops, apply fungicides",,,Karnataka,,,Maharashtra,
66fd159168a6d76dd7415728,Pomegranate Fruit Borer,Pomegranate,,Summer,"Use traps, apply insecticides",,,Rajasthan,,,Gujarat,
66fd159168a6d76dd7415729,Watermelon Mosaic Virus,Watermelon,,Kharif,"Use resistant varieties, eliminate infected plants",,,Texas,,,California,
66fd159168a6d76dd741572a,Apple Fire Blight,Apple,,Spring,"Prune infected branches, apply fungicides",,,New York,,,Oregon,
66fd159168a6d76dd741572b,Banana Panama Disease,Banana,,All Year,"Use disease-free planting materials, crop rotation",,,Tamil Nadu,,,Kerala,
66fd159168a6d76dd741572c,Blackgram Stem Fly,Blackgram,,Kharif,"Use sticky traps, apply insecticides",,,Andhra Pradesh,,,Telangana,
66fd159168a6d76dd741572d,Chickpea Cyst Nematode,Chickpea,,Rabi,"Crop rotation, use resistant varieties",,,Madhya Pradesh,,,Rajasthan,
66fd159168a6d76dd741572e,Coconut Root Wilt,Coconut,,All Year,"Improve soil drainage, use resistant varieties",,,Tamil Nadu,,,Kerala,
66fd159168a6d76dd741572f,Coffee Leaf Rust,Coffee,,All Year,"Apply fungicides, improve air circulation",,,Kerala,,,Karnataka,
66fd159168a6d76dd7415730,Cotton Leaf Curl,Cotton,,Summer,"Use resistant varieties, improve air circulation",,,Andhra Pradesh,,,Gujarat,
66fd159168a6d76dd7415731,Grape Phomopsis,Grapes,,Summer,"Use resistant varieties, apply fungicides",,,Oregon,,,California,
66fd159168a6d76dd7415732,Jute Blight,Jute,,Kharif,"Crop rotation, use resistant varieties",,,Assam,,,West Bengal,
66fd159168a6d76dd7415733,Kidney Bean Mosaic Virus,Kidney Beans,,Rabi,"Use resistant varieties, eliminate infected plants",,,Haryana,,,Uttar Pradesh,
66fd159168a6d76dd7415734,Lentil Root Rot,Lentil,,Rabi,"Use well-drained soil, apply fungicides",,,Punjab,,,Madhya Pradesh,
66fd159168a6d76dd7415735,Maize Earworm,Maize,,Summer,"Use pheromone traps, apply insecticides",,,Bihar,,,Karnataka,
66fd159168a6d76dd7415736,Mung Bean Stem Borer,Mung Bean,,Kharif,"Use resistant varieties, apply insecticides",,,Gujarat,,,Maharashtra,
66fd159168a6d76dd7415737,Mango Anthracnose,Mango,,Summer,"Use resistant varieties, apply fungicides",,,Karnataka,,,Andhra Pradesh,
66fd159168a6d76dd7415738,Moth Bean Blight,Moth Beans,,Kharif,"Use resistant varieties, apply fungicides",,,Haryana,,,Rajasthan,
66fd159168a6d76dd7415739,Muskmelon Downy Mildew,Muskmelon,,Summer,"Improve air circulation, apply fungicides",,,Florida,,,California,
66fd159168a6d76dd741573a,Orange Fruit Fly,Orange,,Summer,"Use traps, apply insecticides",,,California,,,Florida,
66fd159168a6d76dd741573b,Papaya Powdery Mildew,Papaya,,All Year,"Improve air circulation, apply fungicides",,,Florida,,,Hawaii,
66fd159168a6d76dd741573c,Rice Sheath Blight,Rice,,Kharif,"Use resistant varieties, apply fungicides",,,Punjab,,,West Bengal,
66fd159168a6d76dd741573d,Pigeon Pea Moth,Pigeon Peas,,Kharif,"Use resistant varieties, apply insecticides",,,Karnataka,,,Maharashtra,
66fd159168a6d76dd741573e,Pomegranate Scab,Pomegranate,,Summer,"Crop rotation, apply fungicides",,,Rajasthan,,,Gujarat,
66fd159168a6d76dd741573f,Watermelon Fruit Fly,Watermelon,,Kharif,"Use traps, apply insecticides",,,Texas,,,California,
66fd159168a6d76dd7415740,Apple Scab,Apple,,Spring,"Prune trees, apply fungicides",,,New York,,,Washington,
66fd159168a6d76dd7415741,Banana Black Sigatoka,Banana,,All Year,"Use disease-resistant varieties, avoid over-watering",,,Maharashtra,,,Kerala,
66fd159168a6d76dd7415742,Blackgram Pod Fly,Blackgram,,Kharif,"Use sticky traps, apply insecticides",,,Andhra Pradesh,,,Telangana,
66fd159168a6d76dd7415743,Chickpea Beetle,Chickpea,,Rabi,"Apply insecticides, introduce natural predators",,,Madhya Pradesh,,,Rajasthan,
66fd159168a6d76dd7415744,Coconut Leaf Beetle,Coconut,,All Year,"Use insecticides, maintain healthy tree growth",,,Tamil Nadu,,,Kerala,
66fd159168a6d76dd7415745,Coffee Leaf Spot,Coffee,,All Year,"Apply fungicides, improve air circulation",,,Kerala,,,Karnataka,
66fd159168a6d76dd7415746,Cotton Root Rot,Cotton,,Summer,"Improve soil drainage, apply fungicides",,,Andhra Pradesh,,,Gujarat,
66fd159168a6d76dd7415747,Grape Powdery Mildew,Grapes,,Summer,"Improve air circulation, apply fungicides",,,Oregon,,,California,
66fd159168a6d76dd7415748,Jute Stem Rot,Jute,,Kharif,"Use resistant varieties, crop rotation",,,Assam,,,West Bengal,
66fd159168a6d76dd7415749,Kidney Bean Cyst Nematode,Kidney Beans,,Rabi,"Rotate crops, use resistant varieties",,,Haryana,,,Uttar Pradesh,
66fd159168a6d76dd741574a,Lentil Aphid,Lentil,,Rabi,"Introduce natural predators, apply insecticides",,,Punjab,,,Madhya Pradesh,
66fd159168a6d76dd741574b,Maize Aphid,Maize,,Summer,"Use resistant hybrids, apply insecticides",,,Bihar,,,Karnataka,
66fd159168a6d76dd741574c,Mung Bean Leaf Spot,Mung Bean,,Kharif,"Use resistant varieties, crop rotation",,,Gujarat,,,Maharashtra,
66fd159168a6d76dd741574d,Mango Seed Weevil,Mango,,Summer,"Use insecticides, eliminate infected fruits",,,Karnataka,,,Andhra Pradesh,
66fd159168a6d76dd741574e,Moth Bean Cyst Nematode,Moth Beans,,Kharif,"Crop rotation, use resistant varieties",,,Haryana,,,Rajasthan,
66fd159168a6d76dd741574f,Muskmelon Aphid,Muskmelon,,Summer,"Introduce natural predators, apply insecticides",,,Florida,,,California,
66fd159168a6d76dd7415750,Orange Leaf Spot,Orange,,Summer,"Apply fungicides, improve air circulation",,,California,,,Florida,
66fd159168a6d76dd7415751,Papaya Mosaic Virus,Papaya,,All Year,"Use disease-free seedlings, eliminate infected plants",,,Florida,,,Hawaii,
66fd159168a6d76dd7415752,Rice Brown Spot,Rice,,Kharif,"Rotate crops, use resistant varieties",,,Punjab,,,West Bengal,
66fd159168a6d76dd7415753,Pigeon Pea Leaf Spot,Pigeon Peas,,Kharif,"Use resistant varieties, apply fungicides",,,Karnataka,,,Maharashtra,
66fd159168a6d76dd7415754,Pomegranate Aphid,Pomegranate,,Summer,"Use insecticides, introduce natural predators",,,Rajasthan,,,Gujarat,
66fd159168a6d76dd7415755,Watermelon Gummy Stem Blight,Watermelon,,Kharif,"Use well-drained soil, apply fungicides",,,Texas,,,California,
66fd159168a6d76dd7415756,Apple Fire Blight,Apple,,Spring,"Prune infected branches, apply fungicides",,,New York,,,Oregon,
66fd159168a6d76dd7415757,Banana Leaf Spot,Banana,,All Year,"Use disease-resistant varieties, maintain proper spacing",,,Tamil Nadu,,,Kerala,
66fd159168a6d76dd7415758,Blackgram Mosaic Virus,Blackgram,,Kharif,"Use resistant varieties, crop rotation",,,Telangana,,,Andhra Pradesh,
66fd159168a6d76dd7415759,Chickpea Stem Fly,Chickpea,,Rabi,"Use sticky traps, apply insecticides",,,Punjab,,,Rajasthan,
66fd159168a6d76dd741575a,Coconut Root Rot,Coconut,,All Year,"Use disease-free seedlings, maintain good drainage",,,Tamil Nadu,,,Kerala,
66fd159168a6d76dd741575b,Coffee White Stem Borer,Coffee,,All Year,"Monitor for signs of infestation, apply insecticides",,,Kerala,,,Karnataka,
66fd159168a6d76dd741575c,Cotton Aphid,Cotton,,Summer,"Introduce natural predators, apply insecticides",,,Andhra Pradesh,,,Gujarat,
66fd159168a6d76dd741575d,Grape Powdery Mildew,Grapes,,Summer,"Improve air circulation, apply fungicides",,,Oregon,,,California,
66fd159168a6d76dd741575e,Jute Mite,Jute,,Kharif,"Use resistant varieties, crop rotation",,,Assam,,,West Bengal,
66fd159168a6d76dd741575f,Kidney Bean Cyst Nematode,Kidney Beans,,Rabi,"Rotate crops, use resistant varieties",,,Haryana,,,Uttar Pradesh,
66fd159168a6d76dd7415760,Lentil Leaf Spot,Lentil,,Rabi,"Apply fungicides, use resistant varieties",,,Punjab,,,Madhya Pradesh,
66fd159168a6d76dd7415761,Maize Rust,Maize,,Summer,"Use resistant hybrids, apply fungicides",,,Bihar,,,Karnataka,
66fd159168a6d76dd7415762,Mung Bean Cyst Nematode,Mung Bean,,Kharif,"Rotate crops, use resistant varieties",,,Gujarat,,,Maharashtra,
66fd159168a6d76dd7415763,Mango Scale Insect,Mango,,Summer,"Apply insecticides, maintain tree health",,,Karnataka,,,Andhra Pradesh,
66fd159168a6d76dd7415764,Moth Bean Stem Fly,Moth Beans,,Kharif,"Use sticky traps, apply insecticides",,,Haryana,,,Rajasthan,
66fd159168a6d76dd7415765,Muskmelon Blight,Muskmelon,,Summer,"Use well-drained soil, apply fungicides",,,Florida,,,California,
66fd159168a6d76dd7415766,Orange Greening Disease,Orange,,All Year,"Use disease-free seedlings, monitor for signs",,,California,,,Florida,
66fd159168a6d76dd7415767,Papaya Leaf Curl,Papaya,,All Year,"Use resistant varieties, apply insecticides",,,Florida,,,Hawaii,
66fd159168a6d76dd7415768,Rice Leaf Folder,Rice,,Kharif,"Use pheromone traps, apply insecticides",,,Punjab,,,West Bengal,
66fd159168a6d76dd7415769,Pigeon Pea Aphid,Pigeon Peas,,Kharif,"Introduce natural predators, apply insecticides",,,Karnataka,,,Maharashtra,
66fd159168a6d76dd741576a,Pomegranate Leaf Spot,Pomegranate,,Summer,"Use fungicides, crop rotation",,,Rajasthan,,,Gujarat,
66fd159168a6d76dd741576b,Watermelon Wilt,Watermelon,,Kharif,"Use well-drained soil, crop rotation",,,Texas,,,California,
66fd159168a6d76dd741576c,Apple Rust,Apple,,Spring,"Use resistant varieties, apply fungicides",,,New York,,,Washington,
66fd159168a6d76dd741576d,Banana Heart Rot,Banana,,All Year,"Use disease-free planting materials, maintain spacing",,,Maharashtra,,,Kerala,
66fd159168a6d76dd741576e,Blackgram Damping Off,Blackgram,,Kharif,"Use well-drained soil, avoid overcrowding",,,Telangana,,,Andhra Pradesh,
66fd159168a6d76dd741576f,Chickpea Fungal Blight,Chickpea,,Rabi,"Crop rotation, use resistant varieties",,,Madhya Pradesh,,,Rajasthan,
66fd159168a6d76dd7415770,Coconut Bud Rot,Coconut,,All Year,"Maintain healthy tree growth, apply fungicides",,,Tamil Nadu,,,Kerala,
66fd159168a6d76dd7415771,Coffee Berry Blight,Coffee,,All Year,"Improve air circulation, apply fungicides",,,Kerala,,,Karnataka,
66fd159168a6d76dd7415772,Cotton Pink Bollworm,Cotton,,Summer,"Use pheromone traps, apply insecticides",,,Andhra Pradesh,,,Gujarat,
66fd159168a6d76dd7415773,Grape Leaf Blight,Grapes,,Summer,"Crop rotation, use resistant varieties",,,Oregon,,,California,
66fd159168a6d76dd7415774,Jute Stalk Borer,Jute,,Kharif,"Use resistant varieties, crop rotation",,,Assam,,,West Bengal,
66fd159168a6d76dd7415775,Kidney Bean Aphid,Kidney Beans,,Rabi,"Use sticky traps, apply insecticides",,,Haryana,,,Uttar Pradesh,
66fd159168a6d76dd7415776,Lentil Aphid,Lentil,,Rabi,"Introduce natural predators, apply insecticides",,,Punjab,,,Madhya Pradesh,
66fd159168a6d76dd7415777,Maize Leaf Spot,Maize,,Summer,"Use resistant hybrids, apply fungicides",,,Bihar,,,Karnataka,
66fd159168a6d76dd7415778,Mung Bean Mite,Mung Bean,,Kharif,"Use resistant varieties, apply insecticides",,,Gujarat,,,Maharashtra,
66fd159168a6d76dd7415779,Mango Midge,Mango,,Summer,"Use insecticides, maintain tree health",,,Karnataka,,,Andhra Pradesh,
66fd159168a6d76dd741577a,Moth Bean Aphid,Moth Beans,,Kharif,"Use natural predators, apply insecticides",,,Haryana,,,Rajasthan,
66fd159168a6d76dd741577b,Muskmelon Cucumber Beetle,Muskmelon,,Summer,"Use row covers, apply insecticides",,,Florida,,,California,
66fd159168a6d76dd741577c,Orange Scab,Orange,,Summer,"Crop rotation, apply fungicides",,,California,,,Florida,
66fd159168a6d76dd741577d,Papaya Root Knot Nematode,Papaya,,All Year,"Use disease-free seedlings, maintain healthy soil",,,Florida,,,Hawaii,
66fd159168a6d76dd741577e,Rice Stem Blight,Rice,,Kharif,"Use resistant varieties, apply fungicides",,,Punjab,,,West Bengal,
66fd159168a6d76dd741577f,Pigeon Pea Cyst Nematode,Pigeon Peas,,Kharif,"Rotate crops, use resistant varieties",,,Karnataka,,,Maharashtra,
66fd159168a6d76dd7415780,Pomegranate Root Rot,Pomegranate,,Summer,"Improve soil drainage, apply fungicides",,,Rajasthan,,,Gujarat,
66fd159168a6d76dd7415781,Watermelon Downy Mildew,Watermelon,,Kharif,"Improve air circulation, apply fungicides",,,Texas,,,California,
66fd159168a6d76dd7415782,Apple Scald,Apple,,Spring,"Monitor temperature, apply fungicides",,,New York,,,Oregon,
66fd159168a6d76dd7415783,Banana Cucumber Beetle,Banana,,All Year,"Use row covers, apply insecticides",,,Tamil Nadu,,,Kerala,
